entity_id,name,entity_type,jurisdiction,is_active,is_sanctioned,date_of_birth,politically_exposed,incorporation_date,registration_number
E001,Tokyo Seiko Trading YK,Corporation,JP,true,false,,,1998-04-01,4011001056789
E002,Thames Vale Holdings Ltd,Corporation,GB,true,false,,,2005-09-14,SC123456
E003,Limassol Maritime Services Ltd,Corporation,CY,true,false,,,2011-02-22,HE285441
E004,Orchard Peak Pte Ltd,Corporation,SG,true,false,,,2016-07-19,201618070K
E005,Mumbai Digital Infra Pvt Ltd,Corporation,IN,true,false,,,2014-11-30,U74999MH2014PTC123456
E006,Caribbean Shell Holdings Ltd,Corporation,KY,true,false,,,2009-01-23,MC-209118
E007,Neva Logistics OOO,Corporation,RU,true,true,,,2007-06-15,1077746123456
E008,Dubai Creek Trading FZE,Corporation,AE,true,false,,,2018-03-08,1847593
E009,Shinjuku Consumer Brands KK,Corporation,JP,true,false,,,2001-08-30,5020001032156
E010,Camden Gate Properties Ltd,Corporation,GB,true,false,,,1999-12-01,04099821
E011,Nicosia Tech Ventures Ltd,Corporation,CY,true,false,,,2019-05-07,HE401992
E012,Harbour Ring Capital Pte Ltd,Corporation,SG,true,false,,,2020-10-12,202007892D
E013,Bangalore Cloudworks Pvt Ltd,Corporation,IN,true,false,,,2017-04-18,U72200KA2017PTC101122
E014,Frontier Shipping Holdings Ltd,Corporation,KY,true,false,,,2012-02-29,MC-412200
E015,Volga Metals Trading DMCC,Corporation,AE,true,true,,,2015-01-20,DMCC-77801
E016,Kyoto Precision Components KK,Corporation,JP,true,false,,,2006-05-05,6060606100001
E017,Manchester Biotech Holdings PLC,Corporation,GB,true,false,,,2010-09-09,07100910
E018,Larnaca Shipping Agency Ltd,Corporation,CY,true,false,,,2004-11-11,HE154433
E019,Sentosa Leisure Group Pte Ltd,Corporation,SG,true,false,,,2008-08-08,200808088M
E020,Chennai Industrial Alloy Pvt Ltd,Corporation,IN,true,false,,,2013-06-06,U27109TN2013PTC092888
E021,Tanaka Hiroshi,Individual,JP,true,false,1968-03-12,false,,
E022,Sarah Pemberton,Individual,GB,true,false,1975-11-02,true,,
E023,Andreas Konstantinou,Individual,CY,true,false,1981-06-20,false,,
E024,Wei Ling Tan,Individual,SG,true,false,1988-09-14,false,,
E025,Priya Nair,Individual,IN,true,false,1972-01-30,true,,
E026,Dmitri Volkov,Individual,RU,true,false,1965-07-07,false,,
E027,James Aldridge,Individual,KY,true,false,1979-04-25,false,,
E028,Fatima Al-Mansoori,Individual,AE,true,false,1990-12-01,false,,
E029,Horizon Asia Macro Fund LP,Fund,KY,true,false,,,2012-08-01,HM-2012-LP
E030,Sterling Income Trust PLC,Fund,GB,true,false,,,2003-05-15,ICVC-UK3344
E031,Mirage Crescent Fund SPC,Fund,KY,true,true,,,2016-04-14,SPC-2016-004
E032,Monetary Authority of Singapore,GovernmentBody,SG,true,false,,,,
E033,Cyprus Securities and Exchange Commission,GovernmentBody,CY,true,false,,,,
E034,Osaka Rail Logistics KK,Corporation,JP,true,false,,,2015-03-03,4123456789012
E035,Bristol Maritime Finance Ltd,Corporation,GB,true,false,,,2018-12-12,FC078901
E036,Paphos Renewables Ltd,Corporation,CY,true,false,,,2021-01-25,HE512200
E037,Marina Bay Hospitality Pte Ltd,Corporation,SG,true,false,,,2019-09-09,201939393E
